League;Season;Player;Team;GP;MIN;3PM;3PA;FTM;FTA;TOV;REB;AST;STL;BLK;PTS
Euroleague;2019 - 2020;Mike James;CSKA;28;801.8;79;188;145;174;83;93;120;19;3;590
Euroleague;2019 - 2020;Alexey Shved;KHI;26;810.4;83;252;132;148;102;69;162;24;10;557
Euroleague;2019 - 2020;Shane Larkin;EFE;25;748.6;88;173;131;145;54;78;102;33;1;555
Euroleague;2019 - 2020;Nikola Mirotic;FCB;28;779.5;54;163;133;153;53;194;45;33;9;533
Euroleague;2019 - 2020;Tornike Shengelia;CAJ;28;851.5;34;87;70;91;79;156;81;28;13;444
Euroleague;2019 - 2020;Scottie Wilbekin;MAC;26;677.3;89;206;65;80;58;51;88;32;1;416
Euroleague;2019 - 2020;Deshaun Thomas;PAN;28;837.9;37;103;64;82;32;124;27;27;6;389
Euroleague;2019 - 2020;Nando De Colo;FEN;24;688.6;40;100;86;90;69;72;71;15;1;382
Euroleague;2019 - 2020;Nick Calathes;PAN;28;901.4;32;114;57;96;92;138;254;31;3;373
Euroleague;2019 - 2020;Bojan Dubljevic;VAL;26;610.6;30;86;77;93;49;168;43;15;5;369
Euroleague;2019 - 2020;Sergio Rodriguez;MIL;28;717.6;58;155;49;51;55;63;151;25;4;365
Euroleague;2019 - 2020;Greg Monroe;BAY;28;676.5;0;0;71;95;71;189;71;37;16;361
Euroleague;2019 - 2020;Jimmer Fredette;PAN;27;574.9;45;108;84;88;36;58;48;21;0;347
Euroleague;2019 - 2020;Vasilje Micic;EFE;24;733.2;52;130;53;55;75;60;139;30;1;347
Euroleague;2019 - 2020;Rokas Giedraitis;BER;25;674.3;51;128;65;77;28;99;36;35;2;344
Euroleague;2019 - 2020;Lorenzo Brown;ZVE;27;681.9;21;73;65;79;75;90;125;30;10;332
Euroleague;2019 - 2020;Zach LeDay;ZAL;28;626.2;13;30;92;109;47;131;27;13;19;329
Euroleague;2019 - 2020;Gustavo Ayon;ZEN;26;556.4;0;1;32;55;62;139;56;33;13;324
Euroleague;2019 - 2020;Devin Booker;KHI;28;625.6;17;37;57;67;40;135;34;22;7;324
Euroleague;2019 - 2020;Derrick Williams;FEN;28;730.5;44;118;46;69;29;109;34;30;9;316
Euroleague;2019 - 2020;Vladimir Micov;MIL;26;717.4;43;105;45;56;34;85;57;17;3;314
