League;Season;Player;Team;GP;MIN;3PM;3PA;FTM;FTA;TOV;REB;AST;STL;BLK;PTS
NBA;2019 - 2020;James Harden;HOU;68;2482.6;299;843;692;800;308;446;512;125;60;2335
NBA;2019 - 2020;Damian Lillard;POR;66;2473.7;270;674;460;518;194;284;530;70;22;1978
NBA;2019 - 2020;Devin Booker;PHX;70;2511.8;141;398;468;509;264;297;456;49;18;1863
NBA;2019 - 2020;Giannis Antetokounmpo;MIL;63;1916.9;89;293;398;629;230;856;354;61;66;1857
NBA;2019 - 2020;Trae Young;ATL;60;2120.1;205;568;481;559;289;255;560;65;8;1778
NBA;2019 - 2020;Luka Doncic;DAL;61;2047.3;171;541;426;562;260;573;538;60;14;1759
NBA;2019 - 2020;Bradley Beal;WAS;57;2053.2;170;481;385;457;194;242;347;71;23;1741
NBA;2019 - 2020;LeBron James;LAL;67;2316.3;148;425;264;381;261;525;684;78;36;1698
NBA;2019 - 2020;Donovan Mitchell;UTA;69;2364.0;173;473;278;322;184;304;294;70;14;1655
NBA;2019 - 2020;Anthony Davis;LAL;62;2131.4;72;218;444;525;154;577;200;91;143;1618
NBA;2019 - 2020;C.J. McCollum;POR;70;2556.4;194;512;140;185;127;297;310;54;42;1556
NBA;2019 - 2020;Russell Westbrook;HOU;57;2049.2;55;213;290;380;255;451;401;93;20;1553
NBA;2019 - 2020;Jayson Tatum;BOS;66;2265.1;189;469;254;313;155;460;200;93;57;1547
NBA;2019 - 2020;Kawhi Leonard;LAC;57;1848.2;123;325;356;402;149;402;280;103;33;1543
NBA;2019 - 2020;Zach LaVine;CHI;60;2085.4;184;484;268;334;206;289;254;88;28;1530
NBA;2019 - 2020;DeMar DeRozan;SAS;68;2316.4;9;35;381;451;164;375;380;70;20;1504
NBA;2019 - 2020;Brandon Ingram;NOP;62;2103.5;150;384;313;368;189;379;259;61;38;1477
NBA;2019 - 2020;Nikola Jokic;DEN;73;2335.7;80;255;246;301;226;711;512;85;44;1456
NBA;2019 - 2020;Tobias Harris;PHI;72;2469.2;131;357;174;216;104;495;227;53;40;1411
NBA;2019 - 2020;Buddy Hield;SAC;72;2216.1;271;688;115;136;168;329;213;66;17;1382
NBA;2019 - 2020;Pascal Siakam;TOR;60;2110.3;131;365;240;303;148;439;207;61;53;1371
NBA;2019 - 2020;Collin Sexton;CLE;65;2142.6;97;255;226;267;158;204;192;65;7;1349
NBA;2019 - 2020;Shai Gilgeous-Alexander;OKC;70;2428.5;87;251;288;357;134;412;232;79;47;1331
NBA;2019 - 2020;T.J. Warren;IND;67;2202.5;91;226;167;204;84;280;99;78;34;1326
NBA;2019 - 2020;Spencer Dinwiddie;BRK;64;1994.0;123;400;347;446;174;221;432;40;21;1318
NBA;2019 - 2020;Khris Middleton;MIL;62;1852.8;147;354;208;227;137;382;265;53;7;1297
NBA;2019 - 2020;Bojan Bogdanovic;UTA;63;2082.8;189;457;250;277;159;259;131;34;7;1275
NBA;2019 - 2020;Julius Randle;NYK;64;2080.5;64;231;258;352;193;622;198;51;22;1248
NBA;2019 - 2020;Chris Paul;OKC;70;2207.6;111;304;253;279;161;349;472;111;11;1232
NBA;2019 - 2020;Dennis Schroder;OKC;65;1998.8;125;325;198;236;166;236;262;45;14;1229
NBA;2019 - 2020;Evan Fournier;ORL;66;2075.7;173;434;180;220;125;171;209;71;15;1221
NBA;2019 - 2020;Nikola Vucevic;ORL;62;1998.3;98;289;131;167;88;673;222;54;47;1215
NBA;2019 - 2020;Ja Morant;MEM;67;2074.2;60;179;239;308;220;259;488;58;18;1193
NBA;2019 - 2020;Lou Williams;LAC;65;1863.9;111;315;292;339;182;201;365;43;12;1185
NBA;2019 - 2020;Dillon Brooks;MEM;73;2112.0;147;411;164;203;124;243;150;63;27;1181
NBA;2019 - 2020;Andrew Wiggins;GSW;54;1858.9;111;334;190;268;132;274;198;45;53;1175
NBA;2019 - 2020;Montrezl Harrell;LAC;63;1749.1;0;18;231;351;108;445;107;39;72;1173
NBA;2019 - 2020;Joel Embiid;PHI;51;1505.9;57;172;351;435;159;593;152;45;65;1172
NBA;2019 - 2020;Jrue Holiday;NOP;61;2116.8;122;346;129;182;184;293;408;99;48;1167
NBA;2019 - 2020;Kristaps Porzingis;DAL;57;1813.8;142;403;226;283;92;540;102;41;115;1164
NBA;2019 - 2020;Danilo Gallinari;OKC;62;1834.0;178;439;266;298;76;322;119;42;5;1160
NBA;2019 - 2020;Jaylen Brown;BOS;57;1933.7;129;338;176;243;125;364;118;65;20;1159
NBA;2019 - 2020;Jimmy Butler;MIA;58;1959.3;29;119;438;525;127;386;350;103;32;1157
NBA;2019 - 2020;Domantas Sabonis;IND;62;2158.7;17;67;214;296;170;771;310;47;30;1147
NBA;2019 - 2020;Bam Adebayo;MIA;72;2417.1;2;14;264;382;204;735;368;82;93;1146
NBA;2019 - 2020;Devonte' Graham;CHA;63;2211.3;218;585;191;233;181;212;471;62;15;1145
NBA;2019 - 2020;Kemba Walker;BOS;56;1742.5;180;473;209;242;117;217;268;48;28;1145
NBA;2019 - 2020;Terry Rozier;CHA;63;2164.4;172;423;166;190;141;276;259;61;10;1134
NBA;2019 - 2020;Kyle Lowry;TOR;58;2098.3;164;466;294;343;178;292;433;82;26;1126
NBA;2019 - 2020;Tim Hardaway Jr.;DAL;71;2091.2;204;513;149;182;69;232;137;41;5;1121
NBA;2019 - 2020;Jamal Murray;DEN;59;1903.6;112;324;163;185;127;236;284;67;17;1091
NBA;2019 - 2020;Jordan Clarkson;UTA;71;1704.7;152;413;138;165;97;187;136;46;16;1078
NBA;2019 - 2020;De'Aaron Fox;SAC;51;1634.3;54;185;241;342;158;196;348;74;25;1077
NBA;2019 - 2020;Harrison Barnes;SAC;72;2481.6;102;268;214;267;88;355;159;43;12;1046
NBA;2019 - 2020;Kelly Oubre, Jr.;PHX;56;1933.3;108;307;192;246;83;361;85;71;40;1046
NBA;2019 - 2020;Jonas Valanciunas;MEM;70;1845.2;32;91;148;200;127;788;131;30;76;1044
NBA;2019 - 2020;Hassan Whiteside;POR;67;2008.3;4;7;164;239;120;905;78;26;196;1040
NBA;2019 - 2020;Paul George;LAC;48;1418.9;157;381;190;217;125;272;185;68;20;1033
NBA;2019 - 2020;Marcus Morris;LAC;62;1936.3;142;348;181;220;97;311;86;47;30;1033
NBA;2019 - 2020;Rudy Gobert;UTA;68;2332.8;0;0;254;403;130;916;101;51;135;1026
NBA;2019 - 2020;Kendrick Nunn;MIA;67;1962.5;137;391;85;100;114;180;220;56;15;1024
NBA;2019 - 2020;Terrence Ross;ORL;69;1889.1;177;504;157;184;70;222;82;77;24;1016
NBA;2019 - 2020;Andre Drummond;CLE;57;1878.4;5;35;169;294;203;864;152;109;93;1010
NBA;2019 - 2020;LaMarcus Aldridge;SAS;53;1754.1;61;157;158;191;74;392;129;36;87;1001
NBA;2019 - 2020;Joe Harris;BRK;69;2122.8;172;406;64;89;104;298;144;41;17;998
NBA;2019 - 2020;Alec Burks;PHI;66;1754.2;116;301;235;265;91;282;189;62;17;993
NBA;2019 - 2020;Jaren Jackson, Jr.;MEM;57;1622.1;145;368;139;186;99;262;78;40;92;990
NBA;2019 - 2020;Kevin Love;CLE;56;1780.0;146;390;187;219;140;547;178;33;19;987
NBA;2019 - 2020;Duncan Robinson;MIA;73;2165.6;270;606;67;72;70;232;102;35;19;983
NBA;2019 - 2020;Goran Dragic;MIA;59;1662.9;124;338;191;246;144;187;301;40;10;953
NBA;2019 - 2020;Fred VanVleet;TOR;54;1928.2;146;374;168;198;121;203;357;100;17;952
NBA;2019 - 2020;Ben Simmons;PHI;57;2016.9;2;7;185;298;200;444;455;119;33;937
NBA;2019 - 2020;Karl-Anthony Towns;MIN;35;1187.0;114;277;180;226;110;378;153;33;42;926
NBA;2019 - 2020;Bogdan Bogdanovic;SAC;61;1765.9;164;441;86;116;102;207;207;64;15;924
NBA;2019 - 2020;J.J. Redick;NOP;60;1581.0;180;397;165;185;75;151;119;20;10;917
NBA;2019 - 2020;Eric Bledsoe;MIL;61;1646.3;74;215;169;214;148;282;328;57;26;911
NBA;2019 - 2020;Gordon Hayward;BOS;52;1740.0;85;222;124;145;96;348;212;38;22;909
NBA;2019 - 2020;Derrick Rose;DET;50;1297.6;45;147;121;139;126;121;278;40;16;904
NBA;2019 - 2020;Carmelo Anthony;POR;58;1902.0;87;226;136;161;100;368;85;49;27;895
NBA;2019 - 2020;Aaron Gordon;ORL;62;2017.2;73;237;151;224;100;475;228;51;39;894
NBA;2019 - 2020;Malcolm Brogdon;IND;54;1666.3;75;230;166;186;131;262;381;35;10;893
NBA;2019 - 2020;Will Barton;DEN;58;1915.9;108;288;102;133;88;365;212;61;29;874
NBA;2019 - 2020;Robert Covington;HOU;70;2136.8;161;480;99;124;103;463;88;115;93;870
NBA;2019 - 2020;Markelle Fultz;ORL;72;1996.0;36;135;116;159;147;238;369;90;11;870
NBA;2019 - 2020;Coby White;CHI;65;1674.0;133;376;102;129;109;230;175;49;6;859
NBA;2019 - 2020;Jerami Grant;DEN;71;1891.8;98;252;147;196;63;248;88;50;57;851
NBA;2019 - 2020;Ricky Rubio;PHX;65;2016.4;78;216;195;226;173;304;570;94;11;847
NBA;2019 - 2020;Serge Ibaka;TOR;55;1484.7;70;182;89;124;109;452;77;28;46;845
NBA;2019 - 2020;Miles Bridges;CHA;65;1995.5;99;300;106;131;95;361;114;40;48;843
NBA;2019 - 2020;Eric Paschall;GSW;60;1653.8;37;129;164;212;94;275;127;32;13;837
NBA;2019 - 2020;Davis Bertans;WAS;54;1583.0;200;472;104;122;59;245;92;37;33;834
NBA;2019 - 2020;Nemanja Bjelica;SAC;72;2011.1;134;320;69;84;99;458;203;62;40;831
NBA;2019 - 2020;Norman Powell;TOR;52;1478.8;109;273;129;153;77;190;91;60;21;830
NBA;2019 - 2020;Brook Lopez;MIL;68;1817.0;102;325;127;152;70;312;99;46;163;813
NBA;2019 - 2020;Christian Wood;DET;62;1324.6;54;140;180;242;84;390;60;34;54;810
NBA;2019 - 2020;R.J. Barrett;NYK;56;1704.5;63;197;156;254;124;279;143;55;17;803
NBA;2019 - 2020;Al Horford;PHI;67;2025.5;99;283;61;80;80;456;270;52;61;798
NBA;2019 - 2020;Seth Curry;DAL;64;1575.6;145;321;80;97;62;145;124;38;9;793
NBA;2019 - 2020;Kyle Kuzma;LAL;61;1526.2;86;272;114;155;91;273;80;28;26;782
NBA;2019 - 2020;De'Andre Hunter;ATL;63;2017.9;108;304;110;144;103;286;111;44;18;778
NBA;2019 - 2020;Marcus Smart;BOS;60;1919.3;137;395;127;152;104;225;291;101;29;776
NBA;2019 - 2020;Jarrett Allen;BRK;70;1852.0;0;6;171;270;77;671;110;40;92;775
NBA;2019 - 2020;Taurean Prince;BRK;64;1857.4;146;431;71;89;127;381;116;57;25;773
NBA;2019 - 2020;Patty Mills;SAS;66;1484.7;154;403;97;112;54;108;118;53;6;767
NBA;2019 - 2020;Derrick White;SAS;68;1676.7;79;216;180;211;89;223;241;44;59;765
NBA;2019 - 2020;Josh Richardson;PHI;55;1693.2;85;249;114;141;104;174;162;52;36;755
NBA;2019 - 2020;Myles Turner;IND;62;1825.9;86;250;127;169;85;407;72;46;132;749
NBA;2019 - 2020;Lonzo Ball;NOP;63;2025.2;148;395;43;76;193;383;438;88;38;745
NBA;2019 - 2020;Tyler Herro;MIA;55;1508.1;116;298;87;100;87;224;121;34;9;743
NBA;2019 - 2020;Ish Smith;WAS;68;1787.0;62;169;62;86;95;219;334;59;30;740
NBA;2019 - 2020;Lauri Markkanen;CHI;50;1491.5;109;317;126;153;81;313;74;42;23;737
NBA;2019 - 2020;Ogugua Anunoby;TOR;69;2065.7;89;228;72;102;79;364;108;96;45;733
NBA;2019 - 2020;Darius Garland;CLE;59;1824.0;105;296;63;72;151;111;229;42;4;728
NBA;2019 - 2020;Glenn Robinson;PHI;62;1786.4;77;197;74;86;56;270;96;54;16;727
NBA;2019 - 2020;Rudy Gay;SAS;67;1460.6;74;220;120;136;88;362;114;35;33;726
NBA;2019 - 2020;Dejounte Murray;SAS;66;1686.8;41;111;91;114;125;383;271;111;17;720
NBA;2019 - 2020;Cedi Osman;CLE;65;1910.3;123;321;63;94;91;231;154;54;16;718
NBA;2019 - 2020;Troy Brown, Jr.;WAS;69;1781.9;61;179;109;139;79;383;178;85;7;716
NBA;2019 - 2020;Ben McLemore;HOU;71;1619.5;181;452;50;67;50;157;58;45;16;715
NBA;2019 - 2020;P.J. Washington;CHA;58;1759.0;86;230;88;136;93;316;123;51;44;710
